mesh 2,mesh 2,mesh 2,nuclide,score,mean,std. dev.
x,y,z,,,,
120,1,1,total,heating-local,0.0,0.0
120,1,1,total,absorption,6.536943471746496e-09,6.536943471746496e-09
121,1,1,total,flux,6.080410157700471e-06,2.44096051656684e-06
121,1,1,total,"(n,Xt)",0.0,0.0
121,1,1,total,heating-local,0.0,0.0
121,1,1,total,absorption,7.123150300483913e-09,6.497856195410716e-09
122,1,1,total,flux,6.997496840034687e-06,2.503727704981236e-06
122,1,1,total,"(n,Xt)",0.0,0.0
122,1,1,total,heating-local,0.0,0.0
122,1,1,total,absorption,9.182633950417788e-09,6.773920381318709e-09
123,1,1,total,flux,6.934415689891325e-06,2.4710248456924392e-06
123,1,1,total,"(n,Xt)",0.0,0.0
123,1,1,total,heating-local,0.0,0.0
123,1,1,total,absorption,9.182477833083223e-09,6.773803697662371e-09
124,1,1,total,flux,5.062229781733401e-06,2.0815347539170966e-06
124,1,1,total,"(n,Xt)",0.0,0.0
124,1,1,total,heating-local,0.0,0.0
124,1,1,total,absorption,9.18232550046609e-09,6.773689842815338e-09
125,1,1,total,flux,4.945180922770363e-06,2.089336961769827e-06
125,1,1,total,"(n,Xt)",0.0,0.0
125,1,1,total,heating-local,0.0,0.0
125,1,1,total,absorption,9.18217683115084e-09,6.773578726025181e-09
126,1,1,total,flux,4.92302454214422e-06,2.075665404568014e-06
126,1,1,total,"(n,Xt)",0.0,0.0
126,1,1,total,heating-local,0.0,0.0
126,1,1,total,absorption,9.182031708554408e-09,6.773470260151472e-09
127,1,1,total,flux,4.90222161939579e-06,2.0629626289871724e-06
127,1,1,total,"(n,Xt)",0.0,0.0
127,1,1,total,heating-local,0.0,0.0
127,1,1,total,absorption,9.181890020698055e-09,6.773364361495734e-09
128,1,1,total,flux,4.8826488887727074e-06,2.0511313790035264e-06
128,1,1,total,"(n,Xt)",0.0,0.0
128,1,1,total,heating-local,0.0,0.0
128,1,1,total,absorption,9.181751659988147e-09,6.77326094963701e-09
129,1,1,total,flux,4.864197986978014e-06,2.040086918642683e-06
129,1,1,total,"(n,Xt)",0.0,0.0
129,1,1,total,heating-local,0.0,0.0
129,1,1,total,absorption,9.18161652301473e-09,6.773159947281674e-09
130,1,1,total,flux,4.846773226617189e-06,2.0297550825439243e-06
130,1,1,total,"(n,Xt)",0.0,0.0
